# 11286 TypeInfoData record candidates (name ptr + plausible size/flags)
# 2081 registration sites found in code

## Constructors called (address: registrations)
  FFFFFFFF89F38245: 1
  FFFFFFFF932731BC: 1
  FFFFFFFFB327319C: 1
  FFFFFFFFBA3B887E: 1
  FFFFFFFFBA3B9133: 1
  FFFFFFFFBA3BD136: 1
  FFFFFFFFBA3BE42F: 1
  FFFFFFFFBA3C9329: 1
  FFFFFFFFBA3DB70B: 1
  FFFFFFFFBA3E7E7F: 1
  FFFFFFFFBA3F25F0: 1
  FFFFFFFFBA3F9073: 1
  FFFFFFFFBA3F9445: 1
  FFFFFFFFBA3FFF52: 1
  FFFFFFFFBA4039A7: 1
  FFFFFFFFBA408E88: 1
  FFFFFFFFBA40ED96: 1
  FFFFFFFFBA4150F8: 1
  FFFFFFFFBA41A390: 1
  FFFFFFFFC1F38275: 1
  FFFFFFFFC427317B: 1
  FFFFFFFFE93A794E: 1
  FFFFFFFFE93B2FD0: 1
  FFFFFFFFE93B890C: 1
  FFFFFFFFE93C3D94: 1
  FFFFFFFFE93D502C: 1
  FFFFFFFFE93DDCDA: 1
  FFFFFFFFE93E2E73: 1
  FFFFFFFFE93E3937: 1
  FFFFFFFFE93E5DCD: 1
  FFFFFFFFE93EA06E: 1
  FFFFFFFFE93EED3B: 1
  FFFFFFFFE93F916C: 1
  FFFFFFFFE93F9422: 1
  FFFFFFFFE94039E1: 1
  FFFFFFFFE9408FA6: 1
  FFFFFFFFE9410847: 1
  FFFFFFFFE9412B7E: 1
  FFFFFFFFE9416156: 1
  FFFFFFFFE941A6FB: 1
  FFFFFFFFF427314B: 1
  FFFFFFFFF9F382A5: 1
  00000000: 817
  0043C390: 273
  00500880: 941
  14227D2A: 1
  2427311B: 1
  31F382D5: 1
  3DF381F5: 1
  53227CFB: 1
  693A79A4: 1
  693F9195: 1
  73227CDB: 1

## Record layout by flags byte (count, of which followed by a pointer into .data)
  flags 0x00: 632 records, 0 with trailing pointer
  flags 0x29: 281 records, 281 with trailing pointer
  flags 0x35: 960 records, 0 with trailing pointer
  flags 0x48: 208 records, 0 with trailing pointer

## Registrations (site  record  object  ctor  size  flags  module  misc  extra  name)
0139703F  01BFB3DC  01BFB5FC  00500880    120  0x35  01517300  00010604     -      AmbientSoundsAsset
0139131F  01BF9A6C  01BFA2CC  00500880    256  0x35  01517300  00010110     -      AmmoBoxEntityData
013916DC  01BF9D00  01BFA638  00500880     28  0x35  01517300  00010004     -      AmmoBoxWeaponEffectsData
01391110  01BF993C  01BFA0B8  0043C390     36  0x29  01517300  00010904  01C17630  AmmoConfigData
0139CC3F  01BFBBFC  01BFC610  00500880    160  0x35  01517300  00010510     -      AmmoCrateEntityData
01391310  01C19280  00000000  00000000      0  0x00  01BFA280  00000000     -      AmmoResupply
013912C0  01BF9A38  01BFA280  0043C390     16  0x29  01517300  00010404  01C17D08  AmmoResupplyData
013E42D0  01C39A40  00000000  00000000      0  0x00  01C093DC  00000000     -      Amplitude
013D9F2C  01C0882C  01C0892C  00500880     32  0x35  015175E0  00010004     -      AndExpressionData
013DCE20  01C367E8  00000000  00000000      0  0x00  01BF13E4  00000000     -      Angle
014038F0  01C48350  00000000  00000000      0  0x00  01BF13E4  00000000     -      Angle
013AD5C0  01C24080  00000000  00000000      0  0x00  01BF13E4  00000000     -      AngleOffset
013F30C0  01C3FB90  00000000  00000000      0  0x00  01BF13E4  00000000     -      AngularMomentumMultiplier
013D716C  01C07D9C  01C07EAC  00500880     12  0x35  015175E0  00010004     -      AnimNodePortGroupData
0139CB40  01C1BFE0  00000000  00000000      0  0x00  01C06B70  00000000     -      AnimTree
013A0D70  01C1E728  00000000  00000000      0  0x00  01C06B24  00000000     -      AnimTree
013A7B80  01C207C8  00000000  00000000      0  0x00  01C06B24  00000000     -      AnimTree
013A8020  01C217B8  00000000  3DF381F5      0  0x00  01C06B70  00000000     -      AnimTree
013AA680  01C22A00  00000000  00000000      0  0x00  01C06B70  00000000     -      AnimTree
013D0090  01C342E0  00000000  00000000      0  0x00  01C06B70  00000000     -      AnimTree
013D003F  01C06A7C  01C06B70  00500880    140  0x35  015175E0  00010A04     -      AnimTreeData
013CFFEF  01C06A48  01C06B24  00500880     56  0x35  015175E0  00010404     -      AnimTreeDataAsset
013D009F  01C06AAC  01C06BE0  00500880    120  0x35  015175E0  00010604     -      AnimTreeReplacementData
013B245F  01C00BD8  01C00DD8  00500880     96  0x35  01517300  00010310     -      AnimatedCameraData
013CE8FF  01C065D4  C9706800  00500880    128  0x35  015173E0  00010310     -      AnimatedMeshEntityData
013D2AD0  01C06CAC  01C06FEC  0043C390     24  0x29  015175E0  00010404  01C34508  AnimatedPropertyData
